closer	0 0.0120482 0.10241 0.0301205 0.114458 0.560241 0 0.801205 0.168675 1.16867 0.0301205 0.0120482 0 0 0
coast	0 0 4.80723 0.0180723 0.0060241 0.0421687 0 0.0060241 0.0060241 0 0 4.11446 0 0 0
company	0 0.385542 0.0060241 0.120482 0.0722892 0.46988 0 0.0180723 0.0120482 6.90964 0.0180723 1.1747 0.0421687 0.933735 1.83735
completed	0.0481928 0.0361446 0.138554 0.843373 0 1.83133 0.0120482 0.0843373 0 2.01205 0.0301205 0.463855 0 0.493976 0.0060241
complicated	0 0 0.198795 0.228916 0.0180723 0.403614 0 0.0361446 0.126506 0.198795 0.295181 0.451807 0.0240964 0 0.0180723
concerns	0 0 0.0120482 0.391566 0.0060241 7.3253 0.126506 0.0301205 0.0120482 0.120482 0 0.680723 0 0.277108 0.0180723
contiguous	0 0 0.0903614 0.216867 0.060241 0.174699 0 0.0301205 0.0783133 0.0662651 0.138554 0.144578 0 0 0
continue	0.0060241 0.0180723 0.198795 0.120482 0 0.0722892 0.138554 0.138554 0.0060241 11.4277 0.0903614 0.554217 0.120482 0.0843373 0.0240964
contributed	0.0240964 0.861446 0.060241 0.0903614 0 5.9759 1.72892 0.180723 0.120482 1.51205 0.5 0.849398 0.0662651 0.0301205 0
control	0.0361446 0.0060241 0.0421687 0.0722892 0 0 0 0.0120482 0.475904 13.3133 0 0.0120482 0.0120482 0 0.0180723
couple	0.0060241 0 0.0481928 0.0722892 0.0060241 0.0240964 0 2.04819 0.421687 0.253012 0.0481928 0.0481928 0 0.0180723 0.0060241
create	0.0301205 0 0.186747 0.150602 0 3.24096 0.0301205 0.753012 0 1.93373 1.89157 0.710843 0.204819 1.86145 0.0060241
creation	0 0 0.0060241 0.0060241 0 2.92169 0 0 0.0180723 0.0120482 0 0.0060241 0.0060241 0.0240964 0
cried	0 0 0.0722892 0.168675 0.0783133 0.108434 0 0.060241 0.126506 0.0481928 0.144578 0.192771 0 0 0
crist	0 0 0.120482 0.144578 0.0903614 0.120482 0 0.0542169 0.126506 0.0662651 0.126506 0.150602 0 0 0
current	0.0120482 0 0 0.0301205 0 12.9277 0.0120482 0.650602 0.0722892 0.192771 0 0 0.0120482 0.0903614 0
curtis	0 0 0.0963855 0.168675 0.0662651 0.108434 0 0.0481928 0.108434 0.060241 0.13253 0.210843 0 0 0
damaged	0.361446 0.0361446 0.548193 0.0180723 0.0120482 0.475904 0.0361446 0.0060241 0.433735 2.41566 0.0481928 0.506024 0.0301205 0.0180723 0.0542169
damien	0 0.0180723 0.222892 0.0301205 2.59639 0.0481928 0.0060241 0.0120482 0 0 0.0421687 0.0180723 0 0.0060241 0
dampen	0 0 0.0963855 0.186747 0.10241 0.138554 0 0.0662651 0.0903614 0.0301205 0.13253 0.156627 0 0 0
david	0.0060241 0.0481928 0.0060241 0.0060241 0.0120482 0.433735 3.34337 2.99398 1.28916 6.28313 0.0060241 0.53012 0 0.0421687 0
deal	0.0120482 0 0.0903614 0.0240964 0 5.30723 0.0060241 0.0361446 0.0060241 0.331325 0.0301205 0.0180723 0 0.126506 0.0120482
debt	0 0 0 0.524096 0.0060241 0.23494 0 0.240964 0.475904 0.0662651 0.192771 0.259036 0 0 0
decade	0 0 0.0421687 1.74699 0.0180723 3.00602 0 0 0 0.0361446 0.120482 0.0060241 0.0060241 0.0180723 0
decide	0.0060241 0 0.0542169 0.0722892 0 3.5 0 0.216867 0.0240964 0.0120482 0.0542169 0.0060241 0.0120482 0 0.0421687
declining	0 0 0.114458 0.23494 0.0843373 0.10241 0 0.0240964 0.10241 0.0722892 0.114458 0.144578 0.0060241 0 0
defense	0.0060241 0.0180723 0.686747 0.0963855 0 0.0180723 0.0060241 1.88554 0.222892 0.86747 0.210843 0.10241 0 1.87349 0.0060241
define	0 0 0.126506 0.126506 0.060241 0.120482 0 0.0481928 0.144578 0.0722892 0.13253 0.168675 0 0 0
denied	0.0120482 0.0542169 0 0.108434 0 0 0.0542169 0 0.0240964 6.72892 0.0120482 0.0060241 0 0 0
deputy	0.0301205 0.0542169 0.0843373 0.0963855 0.0542169 0.0180723 0.0662651 0.0481928 0.0240964 0.138554 0.283133 1.10241 0 0 0
details	0 0.0060241 0.0120482 0.108434 0.0060241 0.0361446 0 0.0722892 0.0301205 7.57229 0.0240964 0.0662651 0 0.0421687 0.0240964
director	0 2.33133 0.0060241 0.180723 4.46386 0.0240964 2.85542 0.126506 0.0060241 0.0722892 0.253012 1.21084 0.0180723 3.43976 0.0120482
disappear	0 0 0 0 0 0.0180723 0 0 0 0 0.0301205 3.93976 0 0 0.0120482
dismissed	0.391566 0.0120482 0 0.0060241 0.0060241 0 0 0.162651 2.42771 0.668675 0.283133 0.0301205 0.0120482 0 0
district	0 0 0 0.0060241 0.0060241 0 0 0 0 0.0060241 0.0180723 4.92169 0 0.0421687 0
dollars	0.0060241 0 0 0 0 0.0180723 0.0120482 0.0180723 0.0361446 0.0240964 4.86747 0.0120482 0.0060241 0 0
dozens	0 0 0.060241 0.168675 0.0722892 0.150602 0 0.0542169 0.10241 0.120482 0.0722892 0.192771 0.0060241 0 0
dream	0.0060241 0.313253 7.25904 0.0120482 0.0542169 0 0.0060241 0.0120482 0.921687 0.108434 0.0060241 0 0 0.301205 0
drilling	0 0 0.120482 0.192771 0.0361446 0.13253 0 0.0662651 0.126506 0.0361446 0.108434 0.180723 0 0 0
dry	0.0060241 0 0.13253 0.0301205 0.0060241 0.638554 0 0.0361446 0.156627 0.26506 0.96988 0.746988 0 0 0.0120482
earners	0 0 0.108434 0.192771 0.0843373 0.114458 0 0.0662651 0.138554 0.0361446 0.0903614 0.168675 0 0 0
earthjustice	0 0 0.0481928 0.13253 0.0722892 0.138554 0 0.0903614 0.138554 0.0542169 0.13253 0.192771 0 0 0
efforts	0.0180723 0.0060241 0.0060241 0 0 0.0120482 0.0240964 0.0120482 0.0421687 0 0.0903614 6.54217 0.246988 0 0
elephant	0 0 0.0481928 0.222892 0.0903614 0.108434 0 0.0301205 0.126506 0.0783133 0.0783133 0.216867 0 0 0
email	0 0.0120482 0.0421687 0.060241 0.0060241 0.373494 0.0120482 0.246988 7.59036 0.174699 0.0481928 0.138554 1.18675 0 0.108434
emphasized	0 0.0060241 0 0.0060241 0.0120482 0.0481928 0 0.180723 1.36145 0 0.126506 0.259036 0 0 0
employee	0 0 0.114458 0.174699 0.0481928 0.10241 0 0.10241 0.108434 0.0542169 0.126506 0.168675 0 0 0
employees	0 0 0.0120482 1.54217 0.0120482 0.0060241 0.0301205 0.0180723 0.0180723 0.295181 0.0240964 0.0180723 0 0.0240964 0
engineered	0 0 0.0783133 0.174699 0.0903614 0.0963855 0 0.0783133 0.120482 0.0421687 0.060241 0.259036 0 0 0
